Person,1s-1 Time,1s-2 Time,1s-3 Time,1s-4 Time,1s-5 Time,3s-1 Time,3s-2 Time,3s-3 Time,3s-4 Time,3s-5 Time,5s-1 Time,5s-2 Time,5s-3 Time,5s-4 Time,5s-5 Time
1,1.1099999999999999,2.13,3.29,4.529999999999999,6.04,2.6900000000000004,5.35,8.0,9.99,13.620000000000001,5.19,10.57,14.830000000000002,20.27,25.31
2,0.86,1.91,2.23,3.3200000000000003,3.8899999999999997,2.4800000000000004,5.03,7.500000000000001,9.98,12.67,4.71,9.38,13.010000000000002,18.330000000000002,22.59
3,1.01,2.14,3.08,3.79,5.04,2.8899999999999997,5.8100000000000005,8.61,11.82,14.33,3.95,7.2700000000000005,11.180000000000001,16.150000000000002,19.19
4,0.77,1.77,2.3899999999999997,2.99,3.8499999999999996,3.1100000000000003,6.14,9.35,12.38,15.35,3.55,6.81,10.25,13.95,17.57
5,0.94,1.8699999999999999,2.63,3.61,4.31,2.4699999999999998,4.85,7.500000000000001,9.57,11.950000000000001,2.62,5.12,7.31,10.39,12.27
6,1.04,2.18,3.11,3.94,5.609999999999999,2.4299999999999997,5.29,6.96,9.14,11.450000000000001,4.48,9.09,13.34,18.240000000000002,21.65
7,1.08,2.13,3.59,4.529999999999999,5.31,2.8499999999999996,5.76,8.43,11.56,14.200000000000001,5.5,10.65,16.04,21.27,26.7
8,1.05,2.0,3.17,4.38,5.359999999999999,2.2199999999999998,4.55,7.010000000000001,8.27,10.8,2.52,4.859999999999999,7.39,9.41,11.28
9,0.9199999999999999,1.8699999999999999,3.06,3.73,4.79,2.3499999999999996,4.7,6.83,9.17,11.23,3.6100000000000003,6.86,10.55,14.080000000000002,17.02
10,0.98,1.96,2.94,4.01,5.38,3.0,6.32,8.54,11.87,14.38,4.08,8.260000000000002,11.350000000000001,16.09,18.83
11,0.9199999999999999,1.9499999999999997,3.01,3.73,4.26,2.63,5.59,7.69,9.74,12.96,4.49,8.930000000000001,12.56,17.84,21.07
12,0.88,1.93,2.71,3.85,4.85,2.9800000000000004,6.05,8.87,11.89,15.200000000000001,4.38,8.260000000000002,12.63,17.01,20.55
13,0.83,1.6199999999999999,2.46,3.54,4.14,2.5700000000000003,5.07,7.740000000000001,10.57,12.96,6.15,12.33,18.43,25.2,29.520000000000003
14,0.96,1.8199999999999998,2.96,3.5300000000000002,5.13,2.99,5.68,8.979999999999999,11.8,15.070000000000002,6.16,11.770000000000001,18.1,24.05,29.200000000000003
15,0.94,1.8399999999999999,2.6999999999999997,3.56,4.47,3.87,8.32,11.5,15.99,18.86,4.07,7.7299999999999995,11.520000000000001,16.470000000000002,18.58
16,0.98,1.94,2.65,4.1899999999999995,4.56,2.74,5.53,8.16,10.49,13.58,2.59,4.95,7.79,9.879999999999999,12.42
17,0.9299999999999999,1.8299999999999998,3.04,3.39,4.76,1.59,3.25,4.48,6.2,8.15,4.67,9.510000000000002,13.98,18.7,22.27
18,1.02,2.2199999999999998,2.86,4.17,5.14,2.2199999999999998,4.43,6.99,8.959999999999999,11.26,4.61,9.21,13.67,18.39,21.48
19,0.98,2.08,2.69,3.9499999999999997,5.41,2.6100000000000003,5.05,7.920000000000001,10.27,13.22,4.09,8.190000000000001,11.9,16.16,19.07
20,1.03,2.32,2.96,3.93,5.59,2.4000000000000004,4.8100000000000005,7.0200000000000005,9.22,12.030000000000001,4.31,8.56,12.63,17.21,20.74
21,0.87,1.94,2.38,3.79,4.76,2.9000000000000004,5.8,8.709999999999999,11.4,13.77,5.12,10.48,15.07,20.71,24.12
22,1.03,1.98,2.94,4.46,5.43,2.71,5.5200000000000005,8.0,10.57,13.35,3.83,7.489999999999999,11.290000000000001,14.64,18.36
23,1.04,2.05,3.17,3.98,5.22,3.0999999999999996,6.51,9.67,12.58,15.37,4.2,8.510000000000002,12.23,16.560000000000002,19.59
24,0.88,1.76,2.83,3.56,3.95,2.5999999999999996,5.15,8.209999999999999,10.17,12.82,6.68,12.530000000000001,20.53,26.12,31.630000000000003
25,1.14,2.32,3.19,4.42,5.99,2.8499999999999996,6.13,8.79,11.25,13.85,3.51,6.97,9.780000000000001,13.46,16.85
26,1.27,2.59,4.1,5.35,6.84,2.5599999999999996,5.39,7.2,10.14,12.69,2.63,5.069999999999999,7.839999999999999,10.260000000000002,11.83
27,0.95,1.8599999999999999,2.56,3.5300000000000002,4.6499999999999995,2.26,4.35,6.95,8.81,11.31,4.09,7.61,11.9,16.17,19.1
28,1.02,2.2199999999999998,3.1399999999999997,4.42,5.25,3.2800000000000002,6.45,9.809999999999999,12.9,16.279999999999998,4.89,9.780000000000001,14.120000000000001,19.94,23.6
29,1.02,1.9699999999999998,3.1599999999999997,4.3999999999999995,4.83,1.71,3.43,4.760000000000001,6.86,8.26,4.65,9.15,13.030000000000001,18.54,22.56
30,1.01,2.01,3.09,3.72,5.3,2.7699999999999996,5.85,8.059999999999999,11.03,14.13,3.6799999999999997,6.829999999999999,10.770000000000001,14.73,17.6
31,1.04,2.09,3.17,4.409999999999999,5.13,3.1100000000000003,6.0600000000000005,9.36,12.54,15.53,5.26,9.91,15.27,20.27,24.44
32,1.02,1.96,3.05,4.069999999999999,5.26,2.6100000000000003,5.28,7.819999999999999,10.26,13.06,5.06,9.780000000000001,14.330000000000002,20.37,24.79
33,0.94,1.88,2.69,3.44,4.49,2.6900000000000004,5.46,8.319999999999999,10.62,13.72,3.6500000000000004,6.8,11.030000000000001,14.04,17.18
34,0.7799999999999999,1.52,2.13,2.9,3.3899999999999997,3.2300000000000004,6.61,10.01,13.38,15.94,4.63,8.870000000000001,13.56,18.62,22.02
35,0.64,1.49,1.81,2.7600000000000002,3.59,3.2300000000000004,6.19,10.01,12.95,15.65,5.34,10.760000000000002,15.09,21.560000000000002,25.68
36,1.0899999999999999,2.16,3.04,4.64,5.81,2.67,5.47,7.95,10.459999999999999,13.450000000000001,5.43,10.96,15.990000000000002,22.04,25.12
37,0.7799999999999999,1.5799999999999998,2.1,3.2600000000000002,4.2,2.7800000000000002,5.5,8.26,10.709999999999999,14.09,5.21,9.620000000000001,15.379999999999999,20.490000000000002,25.02
38,0.94,1.8,2.87,3.9899999999999998,4.97,2.7,5.22,7.990000000000001,10.29,13.3,3.7800000000000002,7.62,10.700000000000001,14.629999999999999,18.07
39,1.31,2.39,3.73,5.02,6.43,2.42,4.73,7.04,9.39,11.96,3.5700000000000003,7.29,10.040000000000001,14.030000000000001,17.38
40,0.83,1.67,2.77,2.92,4.3,2.54,4.7700000000000005,7.7700000000000005,9.89,12.72,3.5999999999999996,7.489999999999999,10.24,14.23,17.41
41,0.97,1.93,2.7399999999999998,4.04,4.96,2.5999999999999996,5.16,8.049999999999999,9.91,12.3,4.0,8.38,11.440000000000001,15.59,18.6
42,0.87,1.92,2.9,3.11,4.46,2.5199999999999996,5.37,7.430000000000001,9.47,12.52,3.4,6.12,9.66,13.739999999999998,15.48
43,1.03,2.32,2.7199999999999998,4.1499999999999995,5.569999999999999,2.8200000000000003,5.73,8.84,10.98,14.24,3.67,7.14,10.260000000000002,14.310000000000002,17.28
44,0.83,1.5999999999999999,2.53,3.61,4.21,2.2300000000000004,4.41,7.0600000000000005,8.99,10.540000000000001,3.63,7.1000000000000005,10.120000000000001,14.560000000000002,17.65
45,1.02,2.0,3.12,4.109999999999999,5.1499999999999995,3.0300000000000002,5.92,8.78,12.48,15.139999999999999,6.26,12.180000000000001,17.86,24.77,30.740000000000002
46,1.05,1.9699999999999998,3.5,4.42,5.27,3.33,6.53,10.19,13.53,16.099999999999998,2.24,4.21,6.3999999999999995,9.190000000000001,10.06
47,0.9099999999999999,1.71,2.9299999999999997,4.069999999999999,4.38,3.79,7.26,11.62,14.89,18.639999999999997,4.82,9.09,14.3,18.970000000000002,23.02
48,1.08,2.38,3.1,4.3,4.93,3.26,6.71,9.86,13.23,16.36,4.48,9.23,13.0,17.88,21.31
49,0.8099999999999999,1.78,2.42,2.97,4.1,1.6300000000000001,3.41,4.49,6.55,7.880000000000001,4.28,8.81,11.97,16.8,20.53
50,1.08,2.26,3.3899999999999997,4.069999999999999,5.6,2.2699999999999996,4.45,6.3500000000000005,8.85,11.51,3.66,7.05,11.09,13.920000000000002,17.05
